id,country,iso3,latitude,longitude,centroid,displacement_type,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,locations_name,locations_coordinates,description,combined_type,District,State
g ,#country+name,#country+iso3,#geo+lat,#geo+lon,,#event+displacement_type,#affected+displaced,#date+displacement,#date+displacement+start,#date+displacement+end,#date+year,,#event+name,,,#date+event+start,#date+event+end,,,#event+type,#event+subtype,,,,,#description,#cause,,
192700,Malaysia,MYS,5.88333,116.050003,"[5.88333, 116.050003]",Disaster,393,9/15/2025,9/15/2025,9/15/2025,2025,32946,Malaysia: Flood - Sabah (6 Districts) - 09/09/2025,,,9/9/2025,9/17/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Putatan, Sabah","5.88333, 116.050003","Malaysia: 393 displacements (in relief camp), 15 September - 15 September. Flood resulted in a total of 393 people being in relief camp in Putatan, Sabah on 15 September, according to national/regional disaster authorities.",Flood,Putatan,Sabah
192701,Malaysia,MYS,5.47529,115.803467,"[5.47529, 115.803467]",Disaster,202,9/15/2025,9/15/2025,9/15/2025,2025,32946,Malaysia: Flood - Sabah (6 Districts) - 09/09/2025,,,9/9/2025,9/17/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Membakut, Sabah","5.47529, 115.803467","Malaysia: 202 displacements (in relief camp), 15 September - 15 September. According to national/regional disaster authorities, a total of 202 people were in relief camp in Membakut, Sabah due to flood on 15 September",Flood,Membakut,Sabah
192702,Malaysia,MYS,5.7336,115.931702,"[5.7336, 115.931702]",Disaster,78,9/15/2025,9/15/2025,9/15/2025,2025,32946,Malaysia: Flood - Sabah (6 Districts) - 09/09/2025,,,9/9/2025,9/17/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Papar, Sabah","5.7336, 115.931702","Malaysia: 78 displacements (in relief camp), 15 September - 15 September. Flood resulted in a total of 78 people being in relief camp in Papar, Sabah on 15 September, according to national/regional disaster authorities.",Flood,Papar,Sabah
192022,Malaysia,MYS,5.93555,116.084633,"[5.93555, 116.084633]",Disaster,240,9/12/2025,9/12/2025,9/12/2025,2025,32946,Malaysia: Flood - Sabah (6 Districts) - 09/09/2025,,,9/9/2025,9/17/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Jalan Penampang, Sabah","5.93555, 116.084633","Malaysia: 240 displacements (in relief camp), 12 September - 12 September. Flood resulted in a total of 240 people being in relief camp in Penampang, Sabah on 12 September, according to national/regional disaster authorities.",Flood,Jalan Penampang,Sabah
191779,Malaysia,MYS,5.35828,115.756432,"[5.35828, 115.756432]",Disaster,121,9/9/2025,9/9/2025,9/9/2025,2025,32946,Malaysia: Flood - Sabah (6 Districts) - 09/09/2025,,,9/9/2025,9/17/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Beaufort, Sabah","5.35828, 115.756432","Malaysia: 121 displacements (in relief camp), 09 September - 09 September. A total of 121 people were in relief camp due to flood on 9 September in Beaufort, Sabah, according to national/regional disaster authorities.",Flood,Beaufort,Sabah
191780,Malaysia,MYS,2.2907,111.826332,"[2.2907, 111.826332]",Disaster,56,9/9/2025,9/9/2025,9/9/2025,2025,32947,Malaysia: Flood - Sarawak (Sibu) - 09/09/2025,,,9/9/2025,9/9/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Sibu, Sarawak, Malaysia","2.2907, 111.826332","Malaysia: 56 displacements (in relief camp), 09 September - 09 September. A total of 56 people were in relief camp due to flood on 9 September in Sibu, Sarawak, Malaysia, according to national/regional disaster authorities.",Flood,Sibu,Sarawak
191538,Malaysia,MYS,2.9603,101.758759,"[2.9603, 101.758759]",Disaster,15,9/5/2025,9/5/2025,9/5/2025,2025,32870,Malaysia: Flood - Selangor (Hulu Langat) - 05/09/2025,,,9/5/2025,9/5/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Bandar Baru Bangi, Selangor, Malaysia","2.9603, 101.758759","Malaysia: 15 displacements (in relief camp), 05 September - 05 September. Flood resulted in a total of 15 people being in relief camp in Hulu Langat, Selangor, Malaysia on 5 September, according to national/regional disaster authorities.",Flood,Bandar Baru Bangi,Selangor
185813,Malaysia,MYS,3.04312,101.449608,"[3.04312, 101.449608]",Disaster,304,6/21/2025,6/21/2025,6/21/2025,2025,31716,Malaysia: Flood - Selangor (Klang) - 21/06/2025,,,6/21/2025,6/21/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Klang, Selangor, Malaysia","3.04312, 101.449608","Malaysia: 304 displacements (in relief camp), 21 June - 21 June. A total of 304 people were in relief camp due to flood on 21 June in Klang, Selangor, Malaysia, according to national/regional disaster authorities.",Flood,Klang,Selangor
183382,Malaysia,MYS,5.35828,115.756432,"[5.35828, 115.756432]",Disaster,131,5/3/2025,5/3/2025,5/3/2025,2025,31210,"Malaysia: Flood - Sabah (Keningau, Beaufort) - 01/05/2025",,,5/1/2025,5/5/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Beaufort, Sabah","5.35828, 115.756432","Malaysia: 131 displacements (in relief camp), 03 May - 03 May. Flood resulted in a total of 131 people being in relief camp in Beaufort, Sabah on 3 May, according to national/regional disaster authorities.",Flood,Beaufort,Sabah
183289,Malaysia,MYS,4.47817,101.377602,"[4.47817, 101.377602]",Disaster,16,5/2/2025,5/2/2025,5/2/2025,2025,31212,Malaysia: Flood - Pahang (Cameron Highlands) - 02/05/2025,,,5/2/2025,5/2/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Cameron Highlands, Pahang, Malaysia","4.47817, 101.377602","Malaysia: 16 displacements (in relief camp), 02 May - 02 May. A total of 16 people were in relief camp due to flood on 2 May in Cameron Highlands, Pahang, Malaysia, according to national/regional disaster authorities.",Flood,Cameron Highlands,Pahang
183268,Malaysia,MYS,5.33166,116.15229,"[5.33166, 116.15229]",Disaster,69,5/1/2025,5/1/2025,5/1/2025,2025,31210,"Malaysia: Flood - Sabah (Keningau, Beaufort) - 01/05/2025",,,5/1/2025,5/5/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Keningau, Sabah","5.33166, 116.15229","Malaysia: 69 displacements (in relief camp), 01 May - 01 May. According to national/regional disaster authorities, a total of 69 people were in relief camp in Keningau, Sabah due to flood on 1 May",Flood,Keningau,Sabah
182863,Malaysia,MYS,3.10559,101.6427,"[3.10559, 101.6427]",Disaster,512,4/23/2025,4/23/2025,4/23/2025,2025,31138,"Malaysia: Flood - Selangor (Petaling, Kuala Selangor) - 23/04/2025",,,4/23/2025,4/24/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Petaling Jaya, Selangor, Malaysia","3.10559, 101.6427","Malaysia: 512 displacements (in relief camp), 23 April - 23 April. A total of 512 people were in relief camp due to flood on 23 April in Petaling, Selangor, Malaysia, according to national/regional disaster authorities.",Flood,Petaling Jaya,Selangor
182864,Malaysia,MYS,3.34069,101.249573,"[3.34069, 101.249573]",Disaster,57,4/23/2025,4/23/2025,4/23/2025,2025,31138,"Malaysia: Flood - Selangor (Petaling, Kuala Selangor) - 23/04/2025",,,4/23/2025,4/24/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Kuala Selangor, Selangor, Malaysia","3.34069, 101.249573","Malaysia: 57 displacements (in relief camp), 23 April - 23 April. Flood resulted in a total of 57 people being in relief camp in Kuala Selangor, Selangor, Malaysia on 23 April, according to national/regional disaster authorities.",Flood,Kuala Selangor,Selangor
182658,Malaysia,MYS,5.36486,100.450607,"[5.36486, 100.450607]",Disaster,42,4/21/2025,4/21/2025,4/21/2025,2025,31113,Malaysia: Flood - Pulau Pinang (Seberang Perai Tengah) - 21/04/2025,,,4/21/2025,4/21/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Central Seberang Perai District, Penang, Malaysia","5.36486, 100.450607","Malaysia: 42 displacements (in relief camp), 21 April - 21 April. Flood resulted in a total of 42 people being in relief camp in Central Seberang Perai, Pulau Pinang, Malaysia on 21 April, according to national/regional disaster authorities.",Flood,Central Seberang Perai District,Penang
182653,Malaysia,MYS,2.52289,101.79451,"[2.52289, 101.79451]",Disaster,33,4/20/2025,4/20/2025,4/20/2025,2025,31112,Malaysia: Flood - Negeri Sembilan (Port Dickson) - 20/04/2025,,,4/20/2025,4/20/2025,Weather related,Hydrological,Flood,Flood,,National Disaster Management Agency (NADMA),"Port Dickson, Negeri Sembilan, Malaysia","2.52289, 101.79451","Malaysia: 33 displacements (in relief camp), 20 April - 20 April. Flood resulted in a total of 33 people being in relief camp in Port Dickson, Negeri Sembilan, Malaysia on 20 April, according to national/regional disaster authorities.",Flood,Port Dickson,Negeri Sembilan
182293,Malaysia,MYS,4.84782,100.737091,"[4.84782, 100.737091]",Disaster,34,4/14/2025,4/14/2025,4/14/2025,2025,31034,"Malaysia: Storm - Perak (Perak Tengah, Larut, Matang dan Selama) - 14/04/2025",,,4/14/2025,4/15/2025,Weather related,Meteorological,Storm,Storm,,National Disaster Management Agency (NADMA),"Larut , Matang dan Selama, Perak, Malaysia","4.84782, 100.737091","Malaysia: 34 displacements (in relief camp), 14 April - 14 April. A total of 34 people were in relief camp due to storm on 14 April in Larut, Matang dan Selama, Perak, Malaysia, according to national/regional disaster authorities.",Storm,Larut,Perak
182292,Malaysia,MYS,4.36125,100.950867,"[4.36125, 100.950867]",Disaster,83,4/14/2025,4/14/2025,4/14/2025,2025,31034,"Malaysia: Storm - Perak (Perak Tengah, Larut, Matang dan Selama) - 14/04/2025",,,4/14/2025,4/15/2025,Weather related,Meteorological,Storm,Storm,,National Disaster Management Agency (NADMA),"Seri Iskandar, Perak, Malaysia","4.36125, 100.950867","Malaysia: 83 displacements (in relief camp), 14 April - 14 April. Storm resulted in a total of 83 people being in relief camp in Perak Tengah, Perak, Malaysia on 14 April, according to national/regional disaster authorities.",Storm,Seri Iskandar,Perak
