Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value,,
Malaysia,MYS,1999,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,37.76833232,,"Tariff rate, most favored nation, simple mean, primary products (%)"
Malaysia,MYS,1998,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,55.25876461,,"Tariff rate, applied, weighted mean, primary products (%)"
Malaysia,MYS,1997,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,55.51756295,,"Tariff rate, most favored nation, weighted mean, primary products (%)"
Malaysia,MYS,1996,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,54.46485117,,Import unit value index (2015 = 100)
Malaysia,MYS,1995,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,47.1080548,,Agricultural raw materials imports (% of merchandise imports)
Malaysia,MYS,1994,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,47.3125079,,Food imports (% of merchandise imports)
Malaysia,MYS,1993,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,44.60502143,,Fuel imports (% of merchandise imports)
Malaysia,MYS,1992,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,32.50923102,,ICT goods imports (% total goods imports)
Malaysia,MYS,1991,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,29.81387104,,Insurance and financial services (% of commercial service imports)
Malaysia,MYS,1990,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,27.40141557,,Manufactures imports (% of merchandise imports)
Malaysia,MYS,1989,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,26.75654854,,Ores and metals imports (% of merchandise imports)
Malaysia,MYS,1988,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,26.27803505,,Merchandise imports from economies in the Arab World (% of total merchandise imports)
Malaysia,MYS,1987,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,25.30639285,,Merchandise imports (current US$)
Malaysia,MYS,1986,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,31.83443493,,Merchandise imports from high-income economies (% of total merchandise imports)
Malaysia,MYS,1985,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,34.64615385,,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)
Malaysia,MYS,1984,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,34.88465396,,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)
Malaysia,MYS,1983,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,34.28602478,,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)
Malaysia,MYS,1982,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,30.75311067,,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports)
Malaysia,MYS,1981,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,27.62917933,,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports)
Malaysia,MYS,1980,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,31.1995028,,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)
Malaysia,MYS,1979,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,32.49512248,,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports)
Malaysia,MYS,1978,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,25.07149666,,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)"
Malaysia,MYS,1977,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,28.58800774,,Merchandise imports by the reporting economy (current US$)
Malaysia,MYS,1976,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,26.95035461,,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports)
Malaysia,MYS,1975,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,35.49975382,,Import value index (2015 = 100)
Malaysia,MYS,1974,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,20.93991672,,"Computer, communications and other services (% of commercial service imports)"
Malaysia,MYS,2024,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2.7909E+11,,Commercial service imports (current US$)
Malaysia,MYS,2023,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2.53665E+11,,Transport services (% of commercial service imports)
Malaysia,MYS,2022,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2.83758E+11,,Travel services (% of commercial service imports)
Malaysia,MYS,2021,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2.36855E+11,,Net barter terms of trade index (2015 = 100)
Malaysia,MYS,2020,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1.86613E+11,,Medium and high-tech exports (% manufactured exports)
Malaysia,MYS,2019,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2.1086E+11,,Export volume index (2015 = 100)
Malaysia,MYS,2018,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2.21832E+11,,Export unit value index (2015 = 100)
Malaysia,MYS,2017,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2.01714E+11,,Agricultural raw materials exports (% of merchandise exports)
Malaysia,MYS,2016,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1.8113E+11,,Food exports (% of merchandise exports)
Malaysia,MYS,2015,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1.86856E+11,,Fuel exports (% of merchandise exports)
Malaysia,MYS,2014,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2.18197E+11,,ICT goods exports (% of total goods exports)
Malaysia,MYS,2013,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2.16845E+11,,Insurance and financial services (% of commercial service exports)
Malaysia,MYS,2012,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2.15501E+11,,Manufactures exports (% of merchandise exports)
Malaysia,MYS,2011,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,2.0757E+11,,Ores and metals exports (% of merchandise exports)
Malaysia,MYS,2010,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1.81577E+11,,Merchandise exports to economies in the Arab World (% of total merchandise exports)
Malaysia,MYS,2009,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1.44799E+11,,Merchandise exports (current US$)
Malaysia,MYS,2008,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1.78661E+11,,Merchandise exports to high-income economies (% of total merchandise exports)
Malaysia,MYS,2007,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1.67101E+11,,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)
Malaysia,MYS,2006,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1.47094E+11,,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)
Malaysia,MYS,2005,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1.30577E+11,,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)
Malaysia,MYS,2004,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,1.18486E+11,,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)
Malaysia,MYS,2003,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,96813289474,,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)
Malaysia,MYS,2002,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,91669052632,,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)
Malaysia,MYS,2001,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,86181315789,,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)
Malaysia,MYS,2000,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,94266657895,,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)"
Malaysia,MYS,1999,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,76139368421,,Merchandise exports by the reporting economy (current US$)
Malaysia,MYS,1998,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,67504507087,,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)
Malaysia,MYS,1997,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,92325383683,,Export value index (2015 = 100)
Malaysia,MYS,1996,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,90709545230,,"Computer, communications and other services (% of commercial service exports)"
Malaysia,MYS,1995,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,86851396789,,Commercial service exports (current US$)
Malaysia,MYS,1994,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,67372220959,,High-technology exports (current US$)
Malaysia,MYS,1993,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,52717168558,,High-technology exports (% of manufactured exports)
Malaysia,MYS,1992,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,44008296095,,Transport services (% of commercial service exports)
Malaysia,MYS,1991,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,39885214904,,Travel services (% of commercial service exports)
Malaysia,MYS,1990,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,31764868987,,0
Malaysia,MYS,1989,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,25290145542,,
Malaysia,MYS,1988,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,19758793842,,
Malaysia,MYS,1987,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,15687965799,,
Malaysia,MYS,1986,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,14015811578,,
Malaysia,MYS,1985,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,15603846089,,
Malaysia,MYS,1984,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,17844024794,,
Malaysia,MYS,1983,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,17330317723,,
Malaysia,MYS,1982,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,16070537781,,
Malaysia,MYS,1981,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,14741821738,,
Malaysia,MYS,1980,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,13525759310,,
Malaysia,MYS,1979,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,10021743025,,
Malaysia,MYS,1978,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,7119042910,,
Malaysia,MYS,1977,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,5601955621,,
Malaysia,MYS,1976,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,4643970768,,
Malaysia,MYS,1975,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,4399312107,,
Malaysia,MYS,1974,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,4657120702,,
Malaysia,MYS,2024,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.883115336,,
Malaysia,MYS,2023,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.139430949,,
Malaysia,MYS,2022,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.374837172,,
Malaysia,MYS,2021,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.40140588,,
Malaysia,MYS,2020,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,8.506065797,,
